"发布日期","标题","链接","浏览量","点赞数","收藏数","评论数"
"2026-06-15 11:08","Codex APP 26.609: 优化 Browser Use 能力","https://www.xiaohongshu.com/explore/6a2f6cc70000000007022d33",222,2,1,0
"2026-06-13 09:55","","https://www.xiaohongshu.com/explore/6a2cb89a0000000022015af0",1311,8,1,0
"2026-06-12 00:15","Codex App 26.608：从别的工具搬过来更方便","https://www.xiaohongshu.com/explore/6a2adf0f000000000701162f",316,5,4,0
"2026-06-12 00:10","Claude Code 2.1.172–2.1.173 更新","https://www.xiaohongshu.com/explore/6a2ade100000000007026b9b",143,2,1,0
"2026-06-11 23:51","ZenMux v1.2.4 : 订阅用户可重置 5h 窗口了","https://www.xiaohongshu.com/explore/6a2ad971000000002003ba8c",1159,10,2,17
"2026-06-11 08:52","","https://www.xiaohongshu.com/explore/6a2a06e00000000021009779",470,5,1,0
"2026-06-10 18:10","Claude Fable 5 Free Trial Now!","https://www.xiaohongshu.com/explore/6a293805000000000702c185",216,3,1,7
"2026-06-10 09:32","欢迎来 ZenMux 免费试用 Claude Fable 5 !","https://www.xiaohongshu.com/explore/6a28beba0000000007026982",647,12,3,2
"2026-06-10 06:23","Codex CLI 0.139.0：搜索直达，Schema 不丢","https://www.xiaohongshu.com/explore/6a28926b0000000008032382",303,5,0,0
"2026-06-10 05:56","Claude Code 2.1.170: 最强模型Fable 5来了","https://www.xiaohongshu.com/explore/6a288c0a000000002102380e",533,7,2,0
"2026-06-10 05:12","Claude Fable 5上线ZenMux | Mythos级成员","https://www.xiaohongshu.com/explore/6a2881a70000000008031f46",808,6,1,0
"2026-06-09 18:06","Codex CLI 0.138.0：CLI↔Desktop 无缝移交","https://www.xiaohongshu.com/explore/6a27e58f000000002202e943",2274,8,7,0
"2026-06-09 17:58","Claude Code 2.1.169 更新速览","https://www.xiaohongshu.com/explore/6a27e3e00000000036001b26",1411,9,4,0
"2026-06-07 22:24","Codex App 26.602｜用量做成可分享的成绩单","https://www.xiaohongshu.com/explore/6a257f090000000017008dd4",409,4,1,0
"2026-06-07 20:59","Claude Code 2.1.163-2.168 更新合集","https://www.xiaohongshu.com/explore/6a256b28000000001603e6b7",325,6,0,0
"2026-06-04 12:29","Codex CLI 0.137.0：Multi Agent 优化","https://www.xiaohongshu.com/explore/6a20ff200000000022017947",457,6,2,0
"2026-06-04 12:24","Claude Code 2.1.162：修复为主的版本","https://www.xiaohongshu.com/explore/6a20fde9000000002103d7a4",395,2,0,6
"2026-06-03 13:15","Claude Code 2.1.161 更新预览","https://www.xiaohongshu.com/explore/6a1fb870000000003601b563",432,1,0,2
"2026-06-03 07:11","Codex App上新Sites: 直接内置建站并部署","https://www.xiaohongshu.com/explore/6a1f631a00000000370361e1",192,4,0,0
"2026-06-03 06:42","Claude Code 2.1.160 更新预览","https://www.xiaohongshu.com/explore/6a1f5c5e0000000036030a7c",2257,19,6,4
"2026-06-02 22:19","Codex CLI 0.136.0 更新预览","https://www.xiaohongshu.com/explore/6a1ee68f000000000803ff48",349,2,1,0
"2026-06-01 10:44","MiniMax M3已上线ZenMux｜终于是多模态了","https://www.xiaohongshu.com/explore/6a1cf21b000000000702d9fd",888,9,1,4
"2026-05-30 22:50","","https://www.xiaohongshu.com/explore/6a1af94500000000080025e8",352,4,0,0
"2026-05-30 22:21","Codex App 26.527｜ComputerUse登陆Windows","https://www.xiaohongshu.com/explore/6a1af256000000003601e3e2",195,2,3,0
"2026-05-30 22:15","Claude Code 2.1.157-2.1.158 更新速览","https://www.xiaohongshu.com/explore/6a1af0e800000000380226bb",276,4,0,0
"2026-05-29 12:00","Codex CLI 0.135.0 更新速览","https://www.xiaohongshu.com/explore/6a190f5a0000000008024128",614,5,1,0
"2026-05-29 10:43","Step 3.7 Flash 上线 ZenMux | 免费试用","https://www.xiaohongshu.com/explore/6a18fd36000000000803d94b",1145,15,9,0
"2026-05-29 01:15","Claude Opus 4.8 上线 ZenMux | 免费试用","https://www.xiaohongshu.com/explore/6a18783f0000000007023ecd",6131,94,114,18
"2026-05-28 15:21","Claude Code 2.1.153 更新速览","https://www.xiaohongshu.com/explore/6a17ed0c00000000080009dd",442,1,1,0
"2026-05-27 18:52","Claude Code 2.1.152 更新速览","https://www.xiaohongshu.com/explore/6a16ccda0000000006020d10",209,1,1,0
"2026-05-27 18:48","Codex CLI 0.134.0 更新速览","https://www.xiaohongshu.com/explore/6a16cc0300000000060357cc",200,1,1,0
"2026-05-25 17:53","Claude Code 2.1.149 + 2.1.150 更新速览","https://www.xiaohongshu.com/explore/6a141c19000000003502ab4f",500,2,0,0
"2026-05-25 17:49","Codex App 26.519 更新｜Appshots太好用了","https://www.xiaohongshu.com/explore/6a141b23000000003502560c",634,6,4,0
"2026-05-22 14:36","Codex 0.133.0 更新速览","https://www.xiaohongshu.com/explore/6a0ff9830000000007024c85",282,1,2,0
"2026-05-22 14:33","Claude Code 2.1.147 + 2.1.148 更新速览","https://www.xiaohongshu.com/explore/6a0ff8bd000000000702a03f",302,3,0,0
"2026-05-22 11:01","Qwen3.7-Max 上线 ZenMux","https://www.xiaohongshu.com/explore/6a0fc7120000000008026eac",1368,9,5,0
"2026-05-21 18:51","Codex 0.132.0 更新速览","https://www.xiaohongshu.com/explore/6a0ee3c00000000006033625",3971,22,16,0
"2026-05-21 18:47","Claude Code 2.1.143 + 2.1.146 更新速览","https://www.xiaohongshu.com/explore/6a0ee2d60000000008031c09",420,6,1,0
"2026-05-20 03:39","Gemini 3.5 Flash 上线 ZenMuxAI｜免费试用","https://www.xiaohongshu.com/explore/6a0cbc7c000000003502e279",213,5,1,6
"2026-05-18 22:45","","https://www.xiaohongshu.com/explore/6a0b25f10000000006020b9d",129,1,0,1
"2026-05-18 08:06","🎉在小红书获得的阅读量破100万啦❗️","https://www.xiaohongshu.com/explore/6a0a5815000000000702487d",96,6,0,11
"2026-05-16 23:07","","https://www.xiaohongshu.com/explore/6a08884e0000000007024b08",165,3,0,0
"2026-05-15 23:16","Claude Code 2.1.142 更新速览","https://www.xiaohongshu.com/explore/6a0738d2000000000803e94a",1104,11,3,3
"2026-05-15 23:09","","https://www.xiaohongshu.com/explore/6a07374400000000080266ec",63,1,0,0
"2026-05-15 22:55","","https://www.xiaohongshu.com/explore/6a0733d6000000000803d1e7",82,0,0,0
"2026-05-15 22:54","","https://www.xiaohongshu.com/explore/6a0733c0000000000702a4e1",80,1,0,0
"2026-05-15 16:21","","https://www.xiaohongshu.com/explore/6a06d78a0000000006031a78",36,1,1,0
"2026-05-15 15:49","","https://www.xiaohongshu.com/explore/6a06d014000000000803e501",69,0,0,0
"2026-05-14 21:57","","https://www.xiaohongshu.com/explore/6a05d4e70000000007020286",54,0,0,0
"2026-05-14 18:30","","https://www.xiaohongshu.com/explore/6a05a45c000000000701024f",59,0,0,0
"2026-05-14 17:21","","https://www.xiaohongshu.com/explore/6a0594200000000006030b11",78,0,0,0
"2026-05-14 11:52","社区从Claude向GPT迁移趋势明显","https://www.xiaohongshu.com/explore/6a0546fa0000000006022ec0",4381,55,13,17
"2026-05-14 09:22","Claude Code 2.1.141 更新速览","https://www.xiaohongshu.com/explore/6a0523c90000000007026911",570,6,3,0
"2026-05-13 20:12","","https://www.xiaohongshu.com/explore/6a046aa00000000007023b2e",107,0,0,0
"2026-05-13 20:11","","https://www.xiaohongshu.com/explore/6a046a8100000000070135e5",108,0,0,2
"2026-05-13 16:39","","https://www.xiaohongshu.com/explore/6a0438c60000000006035cd6",79,0,0,1
"2026-05-13 15:34","","https://www.xiaohongshu.com/explore/6a04299f0000000006020f44",58,0,0,0
"2026-05-13 15:06","","https://www.xiaohongshu.com/explore/6a0422ff000000000603687f",57,1,0,0
"2026-05-13 13:05","","https://www.xiaohongshu.com/explore/6a0406b4000000000702322a",135,1,0,4
"2026-05-13 12:11","","https://www.xiaohongshu.com/explore/6a03f9d90000000037036ca7",84,1,0,0
"2026-05-13 11:07","","https://www.xiaohongshu.com/explore/6a03eafb000000003603124d",106,1,0,0
"2026-05-13 09:54","","https://www.xiaohongshu.com/explore/6a03d9d50000000007021a66",107,2,0,0
"2026-05-13 09:26","","https://www.xiaohongshu.com/explore/6a03d35400000000080313f8",88,1,0,0
"2026-05-13 09:20","","https://www.xiaohongshu.com/explore/6a03d1e1000000000803ccb0",220,3,1,3
"2026-05-13 08:34","欢迎加入 ZenMux AI Token 自由计划！","https://www.xiaohongshu.com/explore/6a03c7160000000006034cdf",575,8,2,0
"2026-05-12 14:48","Claude Code 2.1.139：Agent View + /goal","https://www.xiaohongshu.com/explore/6a02cd52000000000702ca8f",109,2,0,0
"2026-05-11 15:43","ZenMux Codex「星战·绝地学徒」宠物领养！","https://www.xiaohongshu.com/explore/6a0188af000000003601d83a",230,5,0,6
"2026-05-11 10:38","Codex 0.130.0 | 更新速览","https://www.xiaohongshu.com/explore/6a01411e00000000380228ef",337,3,1,0
"2026-05-09 11:01","Claude Code 2.1.137 / 2.1.136 双更合辑","https://www.xiaohongshu.com/explore/69fea39900000000380377a3",492,6,2,1
"2026-05-08 23:48","美国最新公布UFO文件速览","https://www.xiaohongshu.com/explore/69fe05e80000000023006dd4",1155337,38092,6010,8296
"2026-05-08 22:56","Codex 0.129.0 | 更新速览","https://www.xiaohongshu.com/explore/69fdf997000000003601ebff",458,4,2,0
"2026-05-08 21:33","Claude Code 2.1.133 更新速览","https://www.xiaohongshu.com/explore/69fde63c0000000038020627",684,5,1,1
"2026-05-08 15:10","ZenMuxAI上线GPT Image协议｜发布生图Skill","https://www.xiaohongshu.com/explore/69fd8c7e000000003601bd03",157,4,1,0
"2026-05-07 12:26","Claude Code 2.1.132 更新｜终端体验优化","https://www.xiaohongshu.com/explore/69fc147f0000000036031bab",317,7,2,0
"2026-05-07 12:25","Claude Code 2.1.129 更新 | 修复缓存暗坑","https://www.xiaohongshu.com/explore/69fc1430000000003601e364",580,4,0,0
"2026-05-06 14:17","GPT-5.5 Instant 已上线 ZenMuxAI","https://www.xiaohongshu.com/explore/69fadd030000000036033331",326,1,0,9
"2026-05-05 14:35","Claude Code 2.1.128 更新速览","https://www.xiaohongshu.com/explore/69f98fb9000000002301cc36",230,2,0,0
"2026-05-02 19:03","Grok 4.3 已上线 ZenMuxAI｜高智低价","https://www.xiaohongshu.com/explore/69f5da19000000001b0222e2",605,6,3,0
"2026-05-01 20:35","Claude Code 2.1.126 三方模型列表直接展示","https://www.xiaohongshu.com/explore/69f49e18000000001a02f767",2733,21,9,10
"2026-04-28 11:25","ClaudeCode 2.1.121更新 重点修复内存泄漏","https://www.xiaohongshu.com/explore/69f0289b0000000035020089",617,3,1,2
"2026-04-26 15:58","ZenMux DeepSeek V4降价75%｜免费版继续提供","https://www.xiaohongshu.com/explore/69edc590000000001b0238d3",1233,11,3,5
"2026-04-25 19:20","","https://www.xiaohongshu.com/explore/69eca381000000001f00668b",232,2,0,0
"2026-04-25 10:05","GPT-5.5 / GPT-5.5-Pro 已上线 ZenMuxAI","https://www.xiaohongshu.com/explore/69ec216c00000000230050a8",926,4,4,1
"2026-04-25 09:56","Claude Code 2.1.120 更新速览 | 完整见图2","https://www.xiaohongshu.com/explore/69ec1f59000000001f0026e0",836,9,7,0
"2026-04-24 12:03","DeepSeek-V4 已上线 ZenMuxAI｜免费调用！","https://www.xiaohongshu.com/explore/69eaeb9f0000000020039877",12271,100,23,26
"2026-04-24 10:37","Claude Code 2.1.119 设置终于存硬盘了","https://www.xiaohongshu.com/explore/69ead781000000001f000f45",1539,13,8,2
"2026-04-23 19:35","ERNIE-Image 已上线 ZenMuxAI｜开源SOTA","https://www.xiaohongshu.com/explore/69ea041c0000000022026770",161,4,1,1
"2026-04-23 18:37","混元Hy3 已上线 ZenMuxAI | 姚顺雨腾讯首秀","https://www.xiaohongshu.com/explore/69e9f6650000000022025f77",190,3,0,0
"2026-04-23 10:00","","https://www.xiaohongshu.com/explore/69e97d28000000001b021066",427,8,0,0
"2026-04-23 09:15","Claude Code 2.1.118 vim 视觉模式来了","https://www.xiaohongshu.com/explore/69e97297000000001d01b531",1966,13,13,0
"2026-04-23 06:40","","https://www.xiaohongshu.com/explore/69e94e700000000023006c8a",121,1,0,0
"2026-04-22 12:19","GPT-Image-2 上线 ZenMux｜免费试用","https://www.xiaohongshu.com/explore/69e84c54000000002202a954",198,4,1,11
"2026-04-22 11:15","Claude Code 2.1.117 更新速读","https://www.xiaohongshu.com/explore/69e83d3c000000001a02eb4c",1113,12,3,0
"2026-04-21 22:30","ZenMux 正式支持 Embedding 模型","https://www.xiaohongshu.com/explore/69e789fb00000000210118e6",257,6,0,9
"2026-04-21 11:27","Claude Code 2.1.116 版本更新","https://www.xiaohongshu.com/explore/69e6ee94000000001a024811",956,9,5,4
"2026-04-21 01:25","Kimi-K2.6已上线ZenMuxAI｜代码/Agent 精进","https://www.xiaohongshu.com/explore/69e661a0000000001e00ef4b",951,10,2,1
"2026-04-20 17:05","ZenMux Analytics上线——平台数据全公示！","https://www.xiaohongshu.com/explore/69e5ec620000000021039e8d",712,23,8,5
"2026-04-19 23:15","Claude Code 2.1.113 版本更新","https://www.xiaohongshu.com/explore/69e4f19f000000001a02e770",17573,82,55,32
"2026-04-16 23:53","Claude Opus 4.7 已上线 ZenMuxAI","https://www.xiaohongshu.com/explore/69e105ff000000002202539b",1496,23,15,14
"2026-04-08 17:15","ZenMux Build in Public 正式启动","https://www.xiaohongshu.com/explore/69d61cce000000001a020fba",2018,28,13,14
"2026-03-21 09:48","","https://www.xiaohongshu.com/explore/69bdf8eb0000000022024f00",676,8,0,5
"2026-03-19 12:32","MiMo-V2-Pro 已上线 ZenMuxAI｜Agent 旗舰","https://www.xiaohongshu.com/explore/69bb7c680000000020039066",1072,9,0,4
"2026-03-19 12:29","MiMo-V2-Omni 已上线 ZenMuxAI｜全模态","https://www.xiaohongshu.com/explore/69bb7b910000000020038d03",832,9,2,3
"2026-03-18 22:28","ZenMux Builder Plan 第三批开放！","https://www.xiaohongshu.com/explore/69bab67b000000001a021396",3307,44,12,43
"2026-03-13 23:23","","https://www.xiaohongshu.com/explore/69b42bd6000000001e00d9c2",680,16,1,2
"2026-03-13 06:26","北京的朋友们 周末龙虾局见🦞","https://www.xiaohongshu.com/explore/69b33db20000000028008b22",442,14,1,4
"2026-03-10 22:11","ZenMux 计费异常说明及补偿通知","https://www.xiaohongshu.com/explore/69b0269e0000000022020fc9",1467,17,1,10
"2026-03-09 19:06","ZenMux订阅制调整: 5小时上调 | 周用量下调","https://www.xiaohongshu.com/explore/69aea9ac000000002303bcee",2712,29,7,32
"2026-03-07 22:58","当前可开通的港美股交易渠道选型调研","https://www.xiaohongshu.com/explore/69ac3d08000000002800b7dc",630,11,15,1
"2026-03-06 10:27","GPT-5.4 已上线 ZenMux｜OpenAI 王者归来","https://www.xiaohongshu.com/explore/69aa3ba40000000015021d77",1713,21,7,28
"2026-03-04 14:10","","https://www.xiaohongshu.com/explore/69a7ccc8000000000e00d452",3848,21,1,63
"2026-03-03 22:30","ZenMux支持视频生成了! 订阅制和PAYG均可用","https://www.xiaohongshu.com/explore/69a6f09b000000001b01d400",716,12,2,7
"2026-03-03 03:30","最新实测！26年3月香港开户别白跑，中银巨严","https://www.xiaohongshu.com/explore/69a5e544000000001a027022",21598,534,871,119
"2026-03-02 20:36","","https://www.xiaohongshu.com/explore/69a5843b000000000d0091db",22847,165,132,127
"2026-02-28 19:25","Seedream 5.0 Lite上线 ZenMuxAI｜推理生图","https://www.xiaohongshu.com/explore/69a2d0b4000000001d011a4f",420,7,2,9
"2026-02-28 18:23","ZenMux New Feature | 支持模型别名","https://www.xiaohongshu.com/explore/69a2c219000000001503b8bc",1705,40,16,36
"2026-02-27 01:26","Nano Banana 2 已上线 ZenMuxAI｜免费试用","https://www.xiaohongshu.com/explore/69a0823b000000001b016cca",5520,87,60,18
"2026-02-25 18:11","Qwen3.5-Flash 上线 ZenMuxAI｜小参高性能","https://www.xiaohongshu.com/explore/699ecab7000000002800ad24",697,5,5,13
"2026-02-25 13:07","GPT-5.3-Codex上线ZenMux | OpenAI编程力作","https://www.xiaohongshu.com/explore/699e8388000000001a02f212",2201,37,11,12
"2026-02-20 17:51","","https://www.xiaohongshu.com/explore/69982ea5000000002801c22c",643,15,3,4
"2026-02-19 18:10","Gemini 3.1 Pro首发ZenMux | 限时免费体验","https://www.xiaohongshu.com/explore/6996e190000000002801e25a",53322,717,299,108
"2026-02-18 10:35","Claude Sonnet 4.6 上线 ZenMux | 逼近Opus","https://www.xiaohongshu.com/explore/6995256f000000000e03c75b",3055,47,10,16
"2026-02-16 19:42","Qwen3.5上线ZenMux|多模态旗舰模型俱乐部+1","https://www.xiaohongshu.com/explore/699302aa000000001b01db8b",1219,20,5,8
"2026-02-16 14:22","ZenMux Flow 2: 骏图天泽","https://www.xiaohongshu.com/explore/6992b79e000000001d01358a",770,10,3,14
"2026-02-14 14:51","Seed 2.0系列已上线 ZenMuxAI｜多模态旗舰!","https://www.xiaohongshu.com/explore/69901b5f000000000d00be89",357,9,4,3
"2026-02-14 11:30","ZenMux在Product Hunt正式启动啦！","https://www.xiaohongshu.com/explore/698fec500000000028020f9f",374,9,0,0
"2026-02-13 00:33","MiniMax-M2.5 上线 ZenMuxAI｜又一开源旗舰","https://www.xiaohongshu.com/explore/698e00c0000000000e03c688",1949,37,11,12
"2026-02-12 01:52","GLM-5 系列已上线 ZenMuxAI｜Agentic 基座","https://www.xiaohongshu.com/explore/698cc1db000000001a02802c",1487,33,5,5
"2026-02-11 18:10","15:30–16:10 Anthropic 服务异常故障说明","https://www.xiaohongshu.com/explore/698c557a000000001a022605",734,6,0,3
"2026-02-10 14:23","去年 DS 今年 SD！SeedDance 2.0 太强了！","https://www.xiaohongshu.com/explore/698aceee000000000e03fd45",2231,25,6,16
"2026-02-10 11:28","坦荡荡-ZenMux公开订阅制实际API金额消耗","https://www.xiaohongshu.com/explore/698aa5c3000000000e03c99d",7357,62,34,64
"2026-02-07 21:25","ZenMux Builder Plan 999个名额已售罄","https://www.xiaohongshu.com/explore/69873d38000000001a02cc75",3852,52,18,36
"2026-02-06 11:33","ZenMux 决定让 Claude Opus 4.6 免费了！","https://www.xiaohongshu.com/explore/698560ec00000000220209f7",49277,799,752,223
"2026-02-06 07:51","Claude Opus 4.6上线 ZenMuxAI｜Coding之王","https://www.xiaohongshu.com/explore/69852d16000000002102bfb7",7133,70,33,31
"2026-02-04 22:12","Claude Sonnet 5 今天晚上大概率要发了！","https://www.xiaohongshu.com/explore/698353c10000000028020e08",3848,35,0,9
"2026-02-02 15:00","Step 3.5 Flash已上线ZenMuxAI｜推理是真快","https://www.xiaohongshu.com/explore/69804b82000000000a03f1d7",851,22,4,8
"2026-02-02 08:54","盘一下2026年2月可能发布的大模型","https://www.xiaohongshu.com/explore/697ff5d6000000001a0301e4",7468,64,20,63
"2026-01-31 22:22","我与ClaudeCode Vibe 设计 ZenMux 的日常","https://www.xiaohongshu.com/explore/697e1012000000001a02b77a",1292,34,33,11
"2026-01-29 21:00","ZenMux × Moltbot：100+ 模型一键切换","https://www.xiaohongshu.com/explore/697b59f7000000000a03de93",1036,24,7,2
"2026-01-28 14:12","ZenMux Builder Plan内测二:生图模型来了！","https://www.xiaohongshu.com/explore/6979a8c9000000002103f5c0",1669,27,11,16
"2026-01-27 21:37","小红书确实很强..上篇帖子小5000刀订阅转化","https://www.xiaohongshu.com/explore/6978bf87000000001a01cc6c",5421,128,82,23
"2026-01-27 18:36","Qwen3-Max-Thinking 上线 ZenMuxAI｜旗舰级","https://www.xiaohongshu.com/explore/6978953f000000000a02adf3",784,13,4,5
"2026-01-27 18:00","M2-her 已上线 ZenMuxAI｜为角色扮演而生","https://www.xiaohongshu.com/explore/69788cc4000000000a03d4c5",1110,12,12,6
"2026-01-27 17:15","Kimi K2.5 已上线 ZenMuxAI｜全能多模态","https://www.xiaohongshu.com/explore/6978824c000000000a02fc7a",1079,18,4,2
"2026-01-19 21:37","ZenMux Builder Plan 订阅制开始内测啦！","https://www.xiaohongshu.com/explore/696e339f000000000d009bff",9037,127,126,142
"2026-01-16 13:48","欢迎来参加 AI 环球黑客松-ZenMux Workshop","https://www.xiaohongshu.com/explore/6969d124000000001a02af27",766,19,7,9
